key,dish_id,eaten_at,eaten_at_utc_offset,image_id,weight,description,remarks,all_food_items
ppf8hc,364972,2022-05-20T19:48:27Z,120,7e81c5ce-4e03-49fb-93d4-0aca33571c65,73.0,salade de pâtes ,,"filet de canard , saucisse , salade de carottes , salade de pâtes "
p8a2w5,361123,2022-05-08T12:45:34Z,120,7b64b358-b611-4155-8e79-6f3ce5b4f11a,164.0,tarte aux fraises,,tarte aux fraises
xjvrtk,362422,2022-05-11T17:50:17Z,120,d15f25db-272a-4f8a-a0ae-225438cf4b70,8.0,huile de lin,souper,"courgette, tomate, purée le tulle betterave, galettes millet haricots noirs maïs, noix de cajou, olives noires, huile de lin"
p96w4a,365131,2022-05-21T15:16:23Z,120,e0c92380-fc15-4bbe-90fb-cc2936321050,105.0,tarte à la rhubarbe ,,tarte à la rhubarbe 
r3bub9,366641,2022-05-30T17:54:02Z,120,6f0647af-ce31-45ac-abc9-d335ba8bcd5e,43.0,poivron,,"poulet, wrap, poivron, tomates, salade verte, avocat"
8japfq,359114,2022-05-03T05:45:55Z,120,c79855ed-5948-4858-9b6d-264b75558907,64.0,muesli nature,,"Muesli nature, Yaourt nature "
xjvrtk,358669,2022-05-01T21:07:31Z,120,ce668b40-a61f-4ac1-abfd-a150071ddd76,417.0,salade de tomates ,salade soir,"salade de tomates , huile d'olive, vinaigre balsamique, graines de lin"
ppf8hc,365079,2022-05-21T11:16:49Z,120,2d798449-e3c7-4b6e-9f74-d788f51b5ce7,15.0,maréchal ,,"salade verte , oeufs , comcombre, maréchal "
8japfq,364834,2022-05-20T10:25:09Z,120,b233fd7c-865a-4287-818f-8d4fe868585e,29.0,pousses de graines ,,"Épinards frais , Pousses de graines , Tomates cerises , Fallafels"
8japfq,362230,2022-05-11T10:16:06Z,120,885c0212-0193-4a37-b6a9-a1dab36f03c5,118.0,yaourt nature ,,"Pomme, Yaourt nature "
xjvrtk,362213,2022-05-11T09:58:55Z,120,8fb08d9a-4e44-4251-a0e4-26441252d211,300.0,courgette et oignons,midi,"courgette et oignons, galettes millet haricots noirs maïs"
xjvrtk,362213,2022-05-11T09:58:55Z,120,8fb08d9a-4e44-4251-a0e4-26441252d211,155.0,galettes millet haricots noirs maïs,midi,"courgette et oignons, galettes millet haricots noirs maïs"
wrah5h,364202,2022-05-17T10:17:16Z,120,115dbd14-27ca-4200-a232-fa9f3eb9bad7,148.0,pâtes ,dîner,"pâtes , haricots verts, poulet grillé , parmesan râpé "
xjvrtk,364056,2022-05-16T17:41:49Z,120,7e8fa753-bb2d-4ee9-983c-7c9ce95fe698,15.0,salade ,soir,"risotto, salade "
wrah5h,358621,2022-05-01T17:58:27Z,120,5e117510-fc82-4a06-a502-12983d55aac5,198.0,"légumes sautés (carottes, poireaux)",souper,"riz, poisson, légumes sautés (carottes, poireaux)"
m4egh2,365920,2022-05-25T18:38:39Z,120,9631ea21-d42e-4129-bd57-c4a1aa521e20,145.0,oeufs brouillés,,"Gnocchi au basilic, Chou-fleur, Oeufs brouillés"
ppf8hc,365666,2022-05-24T10:09:24Z,120,7c7d7932-0ffe-47e1-83e9-2289044511e5,217.0,spaghetti ,,"spaghetti , pesto , gruyère "
r3bub9,366478,2022-05-30T10:00:00Z,120,b1cddb5b-7db0-4fb4-9340-d84cd4187243,35.0,pain bis,,"mayonnaise, pain bis, cornichons, fromage"
wrah5h,361019,2022-05-08T09:14:21Z,120,1c8bc1a8-fbe8-4520-b82e-b07adc59e499,47.0,gaufre ,déjeuner ,"gaufre , compote pomme"
p8a2w5,365936,2022-05-25T19:19:15Z,120,abad1443-f704-4eb9-9657-7a67252ff801,136.0,sauce bolognese ,,"pâtes , sauce bolognese , fromage"
p96w4a,364306,2022-05-17T17:28:56Z,120,0513b8db-8592-4ef7-aacf-c117d4030b25,73.0,asperges,,"pommes de terre, asperges, mayonnaise , jambon cru"
wrah5h,364054,2022-05-16T17:37:31Z,120,7b0475df-5b02-4072-abb9-ef75acf0f031,72.0,tiramisu ,dessert,"tiramisu , forêt noir "
2ahgvr,364977,2022-05-20T20:02:27Z,120,a1dcaa3e-bad0-4d16-a8e3-c6217544e407,112.0,salade de pâtes,,Salade de pâtes
8japfq,364295,2022-05-17T16:36:23Z,120,b5ebde1f-ec96-4028-b545-b7a1679f39c5,63.0,chips vaya beans,,Chips vaya beans
p96w4a,364156,2022-05-17T07:20:20Z,120,b0979eb7-5126-4d9e-9058-64093ecde7e0,49.0,pain,,"pain, beurre, mélasse , pain , beurre, nutella "
m4egh2,365795,2022-05-25T05:20:11Z,120,9942fa79-be93-458e-b6a9-22fda9333ff4,96.0,myrtilles,,"Mélange de céréales , Myrtilles, Yogourt orange sanguine"
m4egh2,366295,2022-05-28T10:46:13Z,120,7e7c07da-f8a5-4c6a-96b0-28284727895f,90.0,oeufs  ,,"Pâtes, Oeufs  , Ketchup"
