key,dish_id,eaten_at,eaten_at_utc_offset,image_id,weight,description,remarks,all_food_items
ppf8hc,363122,2022-05-13T15:34:07Z,120,7ba1f50a-fb62-4e65-89ea-a193ab96c0db,115.0,crème caramel ,,crème caramel 
wrah5h,365355,2022-05-22T13:57:37Z,120,5de398c7-684b-448d-ba0a-f318d009bccd,205.0,"délice des dieux (biscuit, fruits rouges, séré+mascarpone) ",dessert,"délice des dieux (biscuit, fruits rouges, séré+mascarpone) "
wrah5h,364536,2022-05-18T17:55:48Z,120,1876b0b6-568d-4583-8186-073df252e6c9,85.0,gaufre à la patate douce,souper,"gaufre à la patate douce, sauce demi crème acidulée, citron, aneth, saumon fumé "
wrah5h,365178,2022-05-21T17:53:17Z,120,ee6e8045-59f2-4294-ae6a-1d5695abc176,48.0,tomates ,souper,"concombre , tomates "
p96w4a,359995,2022-05-05T11:59:49Z,120,58f82c5a-4b79-4f95-9f8f-0b55a93d8383,191.0,chili ,"sauce tomate + haricots rouges + poivron. Pas cuisine moi-même, impossible d'être plus précises sur les quantités de chaque ingredient","pâtes , cervelas, chili , crème fraîche "
xjvrtk,362213,2022-05-11T09:58:55Z,120,8fb08d9a-4e44-4251-a0e4-26441252d211,300.0,courgette et oignons,midi,"courgette et oignons, galettes millet haricots noirs maïs"
ppf8hc,363906,2022-05-16T08:09:45Z,120,ab73a92d-e2b8-41ed-b24c-9a71a70e004a,30.0,noix de cajou ,"non grillée, non salée ",noix de cajou 
p96w4a,360139,2022-05-05T17:39:56Z,120,828972fc-fa12-4270-a960-fc59367fc91e,214.0,purée de pdt,,"purée de pdt, viande ragoût , carotte, sauce "
wrah5h,364118,2022-05-17T04:51:43Z,120,2e7b02f3-969a-4269-bf8a-ee2710c121bc,24.0,myrtilles ,déjeuner,"porridge , framboises , myrtilles , pépites chocolat noir, purée de cacahuète "
wrah5h,364054,2022-05-16T17:37:31Z,120,7b0475df-5b02-4072-abb9-ef75acf0f031,72.0,tiramisu ,dessert,"tiramisu , forêt noir "
m4egh2,366318,2022-05-28T13:26:30Z,120,f218b781-84b2-41d2-b7fe-b01c9a162f8a,77.0,banane ,,Banane 
ppf8hc,365914,2022-05-25T17:49:01Z,120,4d4e6539-b86f-4019-b2aa-0c15dbce0667,236.0,pâtes carbonara ,,"pâtes carbonara , gruyère "
wrah5h,359754,2022-05-04T17:21:31Z,120,19a2e7b0-7aad-44c5-b52a-d67294d4ef49,65.0,galette wraps,souper,"galette wraps, demi crème acidulée , avocat, tomates, carottes , tranche jambon , gruyère râpé"
p8a2w5,361123,2022-05-08T12:45:34Z,120,7b64b358-b611-4155-8e79-6f3ce5b4f11a,164.0,tarte aux fraises,,tarte aux fraises
2ahgvr,366813,2022-05-31T21:14:01Z,120,fb2a197e-9ecd-4c2c-b686-2bc13e28ef1c,47.0,tartine avec crème de marrons et beurre,,Tartine avec crème de marrons et beurre
p96w4a,361038,2022-05-08T09:55:25Z,120,7bd6e67d-b1ca-42e4-a5ca-713b7fadda27,21.0,bout de gruyère ,brunch,"pain (baguette), croissants au jambon , radis, carotte, pommes, bout de gruyère , salami, lard"
r3bub9,366049,2022-05-26T11:47:08Z,120,d936efff-6fc8-4d66-8681-db5d7fd4f9c4,29.0,sauce oignons,,"sauce oignons, rôti , salade de carottes, salade de riz, salade verte, salade russe"
