id,00_MSG_00_TEXT,00_MSG_01_IMAGE,00_MSG_02_TEXT
0,"poulet grillé, ratatouille, pain/galette ",https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/e3bda09e-e437-4ac8-bfbf-4f282e801bfc,poulet grillé
1,"pain libanais, fenouil farci avec sauce tomate",https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/0cd8772f-8d7a-427d-b11c-ff2bc6b5b13f,pain libanais
2,"salade de carottes , vinaigrette ",https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/9b6c62f6-4f81-4ec4-989f-ce06be0b6e9d,salade de carottes 
3,cracotte craquinette fraise,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/67a7b618-09c9-4beb-a43c-4bbc1f9e4cbc,cracotte craquinette fraise
4,"fajitas galette , brochette de poulet façon thaï , mélange de légumes ",https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/1ddcaacb-fd1a-4ee3-a08b-a3721350d9a9,fajitas galette 
5,"salade de riz, poivon,cornichon, salade de pâtes, cornichon, fromage, tomate, sauce coktail, crevettes , concombre, sauce salade",https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/7ff5fe61-b9cd-45c6-8df8-44a690a86b0c,concombre
6,"riz, caviar aubergines , saumon grillé ",https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/511a8f5c-2aad-4603-bdd4-39abc8eb9bcc,saumon grillé 
7,"blanc battu, flocons d'avoine, graines de chia, miel",https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/aa859e5b-563f-472c-9914-036722ebf60e,graines de chia
8,"graines de chia, flocon d'avoines",https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/c0fc63a2-21db-448b-875a-c736a595bd0a,graines de chia
9,quiche lorraine ,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/ff685db2-7bab-4f77-b596-fb10a8287f84,quiche lorraine 
10,"mélange de céréales , myrtilles, yogourt orange sanguine, jus de fruit : raisin, orange, banane , mangue fruit de la passion , espresso",https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/9942fa79-be93-458e-b6a9-22fda9333ff4,myrtilles
11,"salade, tomate, huile olive , vinaigre aux herbes , vinaigre balsamique ",https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/8e09dfe1-3c68-435f-8352-e7d32f9f9de7,vinaigre balsamique 
12,kinder ,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/8558ccd5-6346-4e72-8263-f3e9c80d7597,kinder 
13,"polenta , aubergine grillée , porc, sauce blanche (crème, moutarde)",https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/f727ac79-973e-4b92-8f2b-cda94222d4a7,porc
14,"salade de riz, poivon,cornichon, salade de pâtes, cornichon, fromage, tomate, sauce coktail, crevettes , concombre, sauce salade",https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/7ff5fe61-b9cd-45c6-8df8-44a690a86b0c,"salade de riz, poivon,cornichon"
15,"pêche, pêche",https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/0babd97c-30ea-4b6d-9a13-32aff4add8f8,pêche
16,"galette wraps, demi crème acidulée , avocat, tomates, carottes , tranche jambon , gruyère râpé",https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/19a2e7b0-7aad-44c5-b52a-d67294d4ef49,avocat
17,gâteau au chocolat ,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/9acfba1f-6eaa-4d72-84ed-f7653e464195,gâteau au chocolat 
18,pomme,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/1af5d4ff-9633-44b1-96d6-887426c71a4b,pomme
19,"fraises, fraises",https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/3d828624-e384-44e7-99f6-4c8a4e6f0ba4,fraises
20,"pain au céréales , pâte à tartiner au chocolat ",https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/23166ad4-f303-46da-ab59-6d3b8943e904,pain au céréales 
21,"pâtes , haricots verts, poulet grillé , parmesan râpé ",https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/115dbd14-27ca-4200-a232-fa9f3eb9bad7,poulet grillé 
22,"mozarella , tomate , salade verte , oignons nouveaux , carotte, graine de tournesol, œuf , huile d'olive , vinaigre balsamique crème , houmous au basilic (acheté)",https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/fab584a3-42d9-4217-a493-ec0d71878e56,mozarella 
23,"salade grecque, sauce à salade maison",https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/c476a6d0-acb2-45fd-b168-84822bc98003,salade grecque
24,"saumon grillé , riz complet , salade carotte et maïs ",https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/ee492174-b956-48fe-a4cb-4f059c9bc233,saumon grillé 
25,muffin à la rhubarbe ,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/5d0823ed-be11-45f2-9ae8-7eb63951ab22,muffin à la rhubarbe 
26,"quinoa, mangue, betterave, avocat , carotte râpées, tomate, tofu à la mangue , échalotes , oignons en bottes , sauce vinaigrette ",https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/712f4686-2c54-47d3-a8f2-811e15f6e76b,mangue
27,rosé ,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/4048070b-7b7b-4096-a3fe-14cf2198ec2d,rosé 
28,"pancake, pépites de chocolat noir, pancake, pépites de chocolat noir",https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/f362f600-6edc-47fa-a44a-4f443a173953,pancake
29,"risotto aux asperges , parmesan ",https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/2833b10a-52c7-409b-ad86-f6147c323f9e,parmesan 
30,"barre de chocolat kinder, barre de chocolat kinder, barre de chocolat kinder, barre de chocolat kinder, barre de chocolat kinder, barre de chocolat kinder",https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/0845ef8b-a437-4236-a4f5-49280aac5c51,barre de chocolat kinder
31,"galette wraps, demi crème acidulée , avocat, tomates, carottes , tranche jambon , gruyère râpé",https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/19a2e7b0-7aad-44c5-b52a-d67294d4ef49,tranche jambon 
32,"riz, tomate cerise, pêche , maïs, asperges, thon, haricot rouge, oeuf, sauce à salade",https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/4e021399-8a90-44fe-b06c-0955cd2280f7,pêche 
33,espresso ,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/8a41cd13-4903-4d5b-89c0-00c1973566b9,espresso 
34,"oeuf dur, pomme",https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/1e0291cb-b069-4a2b-9381-8db3239b367b,pomme
35,"boulgour, ratatouille, œuf dur ",https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/b53715cb-f3f5-4abf-bd1d-b7264f7f0a86,ratatouille
36,"semoule , œufs au plat, haricots coco, parmesan râpé",https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/5b6177d5-0d26-4a44-8697-8f007fe9ff1c,haricots coco
37,cerises,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/59b1807f-eb91-443d-9315-11b6fa7c948d,cerises
38,"yogourt nature, flocons d'avoine, son d'avoine, miel, graine de chia, purée d'amande",https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/cca1db77-eb8e-454d-8ea2-e23840f01b97,son d'avoine
39,"poulet grillé, ratatouille, pain/galette ",https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/e3bda09e-e437-4ac8-bfbf-4f282e801bfc,ratatouille
40,"riz, poisson, légumes sautés (carottes, poireaux)",https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/5e117510-fc82-4a06-a502-12983d55aac5,poisson
